UniqueId, ModId, RegistryName, LocalizedName(if exist)
0, minecraft, minecraft:ocean, minecraft:ocean
1, minecraft, minecraft:plains, minecraft:plains
2, minecraft, minecraft:desert, minecraft:desert
3, minecraft, minecraft:extreme_hills, minecraft:extreme_hills
4, minecraft, minecraft:forest, minecraft:forest
5, minecraft, minecraft:taiga, minecraft:taiga
6, minecraft, minecraft:swampland, minecraft:swampland
7, minecraft, minecraft:river, minecraft:river
8, minecraft, minecraft:hell, minecraft:hell
9, minecraft, minecraft:sky, minecraft:sky
10, minecraft, minecraft:frozen_ocean, minecraft:frozen_ocean
11, minecraft, minecraft:frozen_river, minecraft:frozen_river
12, minecraft, minecraft:ice_flats, minecraft:ice_flats
13, minecraft, minecraft:ice_mountains, minecraft:ice_mountains
14, minecraft, minecraft:mushroom_island, minecraft:mushroom_island
15, minecraft, minecraft:mushroom_island_shore, minecraft:mushroom_island_shore
16, minecraft, minecraft:beaches, minecraft:beaches
17, minecraft, minecraft:desert_hills, minecraft:desert_hills
18, minecraft, minecraft:forest_hills, minecraft:forest_hills
19, minecraft, minecraft:taiga_hills, minecraft:taiga_hills
20, minecraft, minecraft:smaller_extreme_hills, minecraft:smaller_extreme_hills
21, minecraft, minecraft:jungle, minecraft:jungle
22, minecraft, minecraft:jungle_hills, minecraft:jungle_hills
23, minecraft, minecraft:jungle_edge, minecraft:jungle_edge
24, minecraft, minecraft:deep_ocean, minecraft:deep_ocean
25, minecraft, minecraft:stone_beach, minecraft:stone_beach
26, minecraft, minecraft:cold_beach, minecraft:cold_beach
27, minecraft, minecraft:birch_forest, minecraft:birch_forest
28, minecraft, minecraft:birch_forest_hills, minecraft:birch_forest_hills
29, minecraft, minecraft:roofed_forest, minecraft:roofed_forest
30, minecraft, minecraft:taiga_cold, minecraft:taiga_cold
31, minecraft, minecraft:taiga_cold_hills, minecraft:taiga_cold_hills
32, minecraft, minecraft:redwood_taiga, minecraft:redwood_taiga
33, minecraft, minecraft:redwood_taiga_hills, minecraft:redwood_taiga_hills
34, minecraft, minecraft:extreme_hills_with_trees, minecraft:extreme_hills_with_trees
35, minecraft, minecraft:savanna, minecraft:savanna
36, minecraft, minecraft:savanna_rock, minecraft:savanna_rock
37, minecraft, minecraft:mesa, minecraft:mesa
38, minecraft, minecraft:mesa_rock, minecraft:mesa_rock
39, minecraft, minecraft:mesa_clear_rock, minecraft:mesa_clear_rock
40, jeid, jeid:error_biome, jeid:error_biome
41, thaumcraft, thaumcraft:magical_forest, thaumcraft:magical_forest
42, thaumcraft, thaumcraft:eerie, thaumcraft:eerie
43, thaumcraft, thaumcraft:eldritch, thaumcraft:eldritch
44, aether, aether:aether_highlands, aether:aether_highlands
45, aether, aether:aether_magnetic_hills, aether:aether_magnetic_hills
46, aether, aether:aether_arctic_peaks, aether:aether_arctic_peaks
47, aether, aether:aether_forgotten_highlands, aether:aether_forgotten_highlands
48, aether, aether:aether_irradiated_forests, aether:aether_irradiated_forests
49, aether, aether:aether_void, aether:aether_void
50, aether, aether:instanced_zone, aether:instanced_zone
51, iceandfire, iceandfire:glacier, iceandfire:glacier
52, thaumicaugmentation, thaumicaugmentation:emptiness, thaumicaugmentation:emptiness
53, thaumicaugmentation, thaumicaugmentation:tainted_lands, thaumicaugmentation:tainted_lands
54, thaumicaugmentation, thaumicaugmentation:emptiness_highlands, thaumicaugmentation:emptiness_highlands
55, vampirism, vampirism:vampireforest, vampirism:vampireforest
56, abyssalcraft, abyssalcraft:darklands, abyssalcraft:darklands
57, abyssalcraft, abyssalcraft:darklands_forest, abyssalcraft:darklands_forest
58, abyssalcraft, abyssalcraft:darklands_plains, abyssalcraft:darklands_plains
59, abyssalcraft, abyssalcraft:darklands_hills, abyssalcraft:darklands_hills
60, abyssalcraft, abyssalcraft:darklands_mountains, abyssalcraft:darklands_mountains
61, abyssalcraft, abyssalcraft:coralium_infested_swamp, abyssalcraft:coralium_infested_swamp
62, abyssalcraft, abyssalcraft:abyssal_wastelands, abyssalcraft:abyssal_wastelands
63, abyssalcraft, abyssalcraft:dreadlands, abyssalcraft:dreadlands
64, abyssalcraft, abyssalcraft:purified_dreadlands, abyssalcraft:purified_dreadlands
65, abyssalcraft, abyssalcraft:dreadlands_forest, abyssalcraft:dreadlands_forest
66, abyssalcraft, abyssalcraft:dreadlands_mountains, abyssalcraft:dreadlands_mountains
67, abyssalcraft, abyssalcraft:omothol, abyssalcraft:omothol
68, abyssalcraft, abyssalcraft:dark_realm, abyssalcraft:dark_realm
69, abyssalcraft, abyssalcraft:purged, abyssalcraft:purged
70, thebetweenlands, thebetweenlands:patchy_islands, thebetweenlands:patchy_islands
71, thebetweenlands, thebetweenlands:swamplands, thebetweenlands:swamplands
72, thebetweenlands, thebetweenlands:deep_waters, thebetweenlands:deep_waters
73, thebetweenlands, thebetweenlands:coarse_islands, thebetweenlands:coarse_islands
74, thebetweenlands, thebetweenlands:raised_isles, thebetweenlands:raised_isles
75, thebetweenlands, thebetweenlands:sludge_plains, thebetweenlands:sludge_plains
76, thebetweenlands, thebetweenlands:marsh_0, thebetweenlands:marsh_0
77, thebetweenlands, thebetweenlands:marsh_1, thebetweenlands:marsh_1
78, thebetweenlands, thebetweenlands:swamplands_clearing, thebetweenlands:swamplands_clearing
79, thebetweenlands, thebetweenlands:sludge_plains_clearing, thebetweenlands:sludge_plains_clearing
127, minecraft, minecraft:void, minecraft:void
129, minecraft, minecraft:mutated_plains, minecraft:mutated_plains
130, minecraft, minecraft:mutated_desert, minecraft:mutated_desert
131, minecraft, minecraft:mutated_extreme_hills, minecraft:mutated_extreme_hills
132, minecraft, minecraft:mutated_forest, minecraft:mutated_forest
