LocalizedName, BlockState
石头, minecraft:stone[variant=stone]
花岗岩, minecraft:stone[variant=granite]
磨制花岗岩, minecraft:stone[variant=smooth_granite]
闪长岩, minecraft:stone[variant=diorite]
磨制闪长岩, minecraft:stone[variant=smooth_diorite]
安山岩, minecraft:stone[variant=andesite]
磨制安山岩, minecraft:stone[variant=smooth_andesite]
草方块, minecraft:grass[snowy=false]
泥土, minecraft:dirt[snowy=false,variant=dirt]
砂土, minecraft:dirt[snowy=false,variant=coarse_dirt]
灰化土, minecraft:dirt[snowy=false,variant=podzol]
圆石, minecraft:cobblestone
橡木木板, minecraft:planks[variant=oak]
云杉木板, minecraft:planks[variant=spruce]
白桦木板, minecraft:planks[variant=birch]
丛林木板, minecraft:planks[variant=jungle]
金合欢木板, minecraft:planks[variant=acacia]
深色橡木木板, minecraft:planks[variant=dark_oak]
橡树树苗, minecraft:sapling[stage=0,type=oak]
云杉树苗, minecraft:sapling[stage=0,type=spruce]
白桦树苗, minecraft:sapling[stage=0,type=birch]
丛林树苗, minecraft:sapling[stage=0,type=jungle]
金合欢树苗, minecraft:sapling[stage=0,type=acacia]
深色橡树树苗, minecraft:sapling[stage=0,type=dark_oak]
基岩, minecraft:bedrock
沙子, minecraft:sand[variant=sand]
红沙, minecraft:sand[variant=red_sand]
沙砾, minecraft:gravel
金矿石, minecraft:gold_ore
铁矿石, minecraft:iron_ore
煤矿石, minecraft:coal_ore
橡木, minecraft:log[axis=y,variant=oak]
云杉木, minecraft:log[axis=y,variant=spruce]
白桦木, minecraft:log[axis=y,variant=birch]
丛林木, minecraft:log[axis=y,variant=jungle]
橡树树叶, minecraft:leaves[check_decay=false,decayable=true,variant=oak]
云杉树叶, minecraft:leaves[check_decay=false,decayable=true,variant=spruce]
白桦树叶, minecraft:leaves[check_decay=false,decayable=true,variant=birch]
丛林树叶, minecraft:leaves[check_decay=false,decayable=true,variant=jungle]
海绵, minecraft:sponge[wet=false]
湿海绵, minecraft:sponge[wet=true]
玻璃, minecraft:glass
青金石矿石, minecraft:lapis_ore
青金石块, minecraft:lapis_block
发射器, minecraft:dispenser[facing=down,triggered=false]
砂岩, minecraft:sandstone[type=sandstone]
錾制砂岩, minecraft:sandstone[type=chiseled_sandstone]
平滑砂岩, minecraft:sandstone[type=smooth_sandstone]
音符盒, minecraft:noteblock
充能铁轨, minecraft:golden_rail[powered=false,shape=north_south]
探测铁轨, minecraft:detector_rail[powered=false,shape=north_south]
粘性活塞, minecraft:sticky_piston[extended=false,facing=down]
蜘蛛网, minecraft:web
