UniqueId, RegistryName, ModId, UnlocalizedName, LocalizedName
0, minecraft:protection, minecraft, enchantment.protect.all, 保护
1, minecraft:fire_protection, minecraft, enchantment.protect.fire, 火焰保护
2, minecraft:feather_falling, minecraft, enchantment.protect.fall, 摔落保护
3, minecraft:blast_protection, minecraft, enchantment.protect.explosion, 爆炸保护
4, minecraft:projectile_protection, minecraft, enchantment.protect.projectile, 弹射物保护
5, minecraft:respiration, minecraft, enchantment.oxygen, 水下呼吸
6, minecraft:aqua_affinity, minecraft, enchantment.waterWorker, 水下速掘
7, minecraft:thorns, minecraft, enchantment.thorns, 荆棘
8, minecraft:depth_strider, minecraft, enchantment.waterWalker, 深海探索者
9, minecraft:frost_walker, minecraft, enchantment.frostWalker, 冰霜行者
10, minecraft:binding_curse, minecraft, enchantment.binding_curse, 绑定诅咒
11, ebwizardry:magic_sword, ebwizardry, enchantment.ebwizardry:magic_sword, 魔力灌注
12, ebwizardry:magic_bow, ebwizardry, enchantment.ebwizardry:magic_bow, 魔力灌注
13, ebwizardry:flaming_weapon, ebwizardry, enchantment.ebwizardry:flaming_weapon, 火焰灌注
14, ebwizardry:freezing_weapon, ebwizardry, enchantment.ebwizardry:freezing_weapon, 冰霜灌注
15, ebwizardry:magic_protection, ebwizardry, enchantment.ebwizardry:magic_protection, 魔法保护
16, minecraft:sharpness, minecraft, enchantment.damage.all, 锋利
17, minecraft:smite, minecraft, enchantment.damage.undead, 亡灵杀手
18, minecraft:bane_of_arthropods, minecraft, enchantment.damage.arthropods, 节肢杀手
19, minecraft:knockback, minecraft, enchantment.knockback, 击退
20, minecraft:fire_aspect, minecraft, enchantment.fire, 火焰附加
21, minecraft:looting, minecraft, enchantment.lootBonus, 抢夺
22, minecraft:sweeping, minecraft, enchantment.sweeping, 横扫之刃
23, ebwizardry:frost_protection, ebwizardry, enchantment.ebwizardry:frost_protection, 冰霜保护
24, ebwizardry:shock_protection, ebwizardry, enchantment.ebwizardry:shock_protection, 雷电保护
25, ancientspellcraft:static_charge, ancientspellcraft, enchantment.ancientspellcraft:static_charge, Static Charge
26, bewitchment:magic_protection, bewitchment, enchantment.bewitchment.magic_protection, 魔力保护
27, vampirism:crossbowinfinite, vampirism, enchantment.arrowInfinite, 无限
28, vampirism:crossbowfrugality, vampirism, enchantment.vampirism.arrow_frugality, 耐久之箭
29, vampirism:vampireslayer, vampirism, enchantment.vampirism.vampire_slayer, 吸血鬼杀手
30, evilcraft:unusing, evilcraft, enchantment.enchantments.unusing, enchantment.enchantments.unusing
31, evilcraft:breaking, evilcraft, enchantment.enchantments.breaking, enchantment.enchantments.breaking
32, minecraft:efficiency, minecraft, enchantment.digging, 效率
33, minecraft:silk_touch, minecraft, enchantment.untouching, 精准采集
34, minecraft:unbreaking, minecraft, enchantment.durability, 耐久
35, minecraft:fortune, minecraft, enchantment.lootBonusDigger, 时运
36, evilcraft:life_stealing, evilcraft, enchantment.enchantments.life_stealing, enchantment.enchantments.life_stealing
37, evilcraft:poison_tip, evilcraft, enchantment.enchantments.poison_tip, enchantment.enchantments.poison_tip
38, evilcraft:vengeance, evilcraft, enchantment.enchantments.vengeance, enchantment.enchantments.vengeance
39, futuremc:loyalty, futuremc, enchantment.loyalty, 忠诚
40, futuremc:channeling, futuremc, enchantment.channeling, 引雷
41, futuremc:riptide, futuremc, enchantment.riptide, 激流
42, futuremc:impaling, futuremc, enchantment.impaling, 穿刺
43, abyssalcraft:coralium, abyssalcraft, enchantment.abyssalcraft.coralium, 珊瑚
44, abyssalcraft:dread, abyssalcraft, enchantment.abyssalcraft.dread, 恐惧
45, abyssalcraft:light_pierce, abyssalcraft, enchantment.abyssalcraft.light_pierce, 光之穿刺
46, abyssalcraft:iron_wall, abyssalcraft, enchantment.abyssalcraft.iron_wall, 铁壁
47, abyssalcraft:sapping, abyssalcraft, enchantment.abyssalcraft.sapping, 削弱
48, minecraft:power, minecraft, enchantment.arrowDamage, 力量
49, minecraft:punch, minecraft, enchantment.arrowKnockback, 冲击
50, minecraft:flame, minecraft, enchantment.arrowFire, 火矢
51, minecraft:infinity, minecraft, enchantment.arrowInfinite, 无限
52, abyssalcraft:multi_rend, abyssalcraft, enchantment.abyssalcraft.multi_rend, 多重撕裂
53, astralsorcery:enchantment.as.nightvision, astralsorcery, enchantment.as.nightvision, 夜视
54, astralsorcery:enchantment.as.smelting, astralsorcery, enchantment.as.smelting, 灼热
61, minecraft:luck_of_the_sea, minecraft, enchantment.lootBonusFishing, 海之眷顾
62, minecraft:lure, minecraft, enchantment.fishingSpeed, 饵钓
70, minecraft:mending, minecraft, enchantment.mending, 经验修补
71, minecraft:vanishing_curse, minecraft, enchantment.vanishing_curse, 消失诅咒
#output time is 5 ms.
