UniqueId, RegistryName, ModId, UnlocalizedName, LocalizedName
0, cyberware:neuropozyne, cyberware, cyberware.potion.neuropozyne, 排斥抑制
1, minecraft:speed, minecraft, effect.moveSpeed, 速度
2, minecraft:slowness, minecraft, effect.moveSlowdown, 缓慢
3, minecraft:haste, minecraft, effect.digSpeed, 急迫
4, minecraft:mining_fatigue, minecraft, effect.digSlowDown, 挖掘疲劳
5, minecraft:strength, minecraft, effect.damageBoost, 力量
6, minecraft:instant_health, minecraft, effect.heal, 瞬间治疗
7, minecraft:instant_damage, minecraft, effect.harm, 瞬间伤害
8, minecraft:jump_boost, minecraft, effect.jump, 跳跃提升
9, minecraft:nausea, minecraft, effect.confusion, 反胃
10, minecraft:regeneration, minecraft, effect.regeneration, 生命恢复
11, minecraft:resistance, minecraft, effect.resistance, 抗性提升
12, minecraft:fire_resistance, minecraft, effect.fireResistance, 防火
13, minecraft:water_breathing, minecraft, effect.waterBreathing, 水下呼吸
14, minecraft:invisibility, minecraft, effect.invisibility, 隐身
15, minecraft:blindness, minecraft, effect.blindness, 失明
16, minecraft:night_vision, minecraft, effect.nightVision, 夜视
17, minecraft:hunger, minecraft, effect.hunger, 饥饿
18, minecraft:weakness, minecraft, effect.weakness, 虚弱
19, minecraft:poison, minecraft, effect.poison, 中毒
20, minecraft:wither, minecraft, effect.wither, 凋零
21, minecraft:health_boost, minecraft, effect.healthBoost, 生命提升
22, minecraft:absorption, minecraft, effect.absorption, 伤害吸收
23, minecraft:saturation, minecraft, effect.saturation, 饱和
24, minecraft:glowing, minecraft, effect.glowing, 发光
25, minecraft:levitation, minecraft, effect.levitation, 飘浮
26, minecraft:luck, minecraft, effect.luck, 幸运
27, minecraft:unluck, minecraft, effect.unluck, 霉运
28, cyberware:rejection, cyberware, cyberware.potion.rejection, 机械排斥
29, thaumcraft:fluxtaint, thaumcraft, potion.flux_taint, 腐毒
30, thaumcraft:visexhaust, thaumcraft, potion.vis_exhaust, 咒流
31, thaumcraft:infectiousvisexhaust, thaumcraft, potion.infvisexhaust, 咒喰
32, thaumcraft:unnaturalhunger, thaumcraft, potion.unhunger, 反常之饥
33, thaumcraft:warpward, thaumcraft, potion.warpward, 扭曲守护
34, thaumcraft:deathgaze, thaumcraft, potion.deathgaze, 死亡凝视
35, thaumcraft:blurredvision, thaumcraft, potion.blurred, 视瞻昏渺
36, thaumcraft:sunscorned, thaumcraft, potion.sunscorned, 日之辱蔑
37, thaumcraft:thaumarhia, thaumcraft, potion.thaumarhia, 玄癔
38, tconstruct:carry, tconstruct, potion.carry, 肩托
39, tconstruct:enderference, tconstruct, potion.enderference, potion.enderference
40, tconstruct:insatiable, tconstruct, potion.insatiable, potion.insatiable
41, tconstruct:magnetic, tconstruct, potion.magnetic, 磁力
42, tconstruct:momentum, tconstruct, potion.momentum, 动力
43, tconstruct:dot, tconstruct, potion.dot, potion.dot
